  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 754    9    0  100.00 100.00     6      6    6      0      7     7   100.00
 755   33    0   54.17  59.09    13     24   22      6     27    21    77.78
 756   13    0  100.00 100.00     7      7    7      0     12    11    91.67
 757   22    0   54.17  61.90    13     24   21      5     18    16    88.89
 758   25    0   85.71  78.26    18     21   23      2     22    19    86.36
 759   22    0   82.35 100.00    14     17   14      0     21    21   100.00
 760   11    0   60.00  85.71     6     10    7      1     10    10   100.00
 761   18    1    0.00   0.00     0      0    0      0      0     0     0.00
 762   26    1    0.00   0.00     0      0    0      0      0     0     0.00
 763   17    1    0.00   0.00     0      0    0      0      0     0     0.00
 764   50    1    0.00   0.00     0      0    0      0      0     0     0.00
 765   13    0   90.00  90.00     9     10   10      0     11    10    90.91
 766   27    1    0.00   0.00     0      0    0      0      0     0     0.00
 767   25    0   73.68  77.78    14     19   18      2     24    23    95.83
 768    6    1    0.00   0.00     0      0    0      0      0     0     0.00
 769   26    0   57.89  55.00    11     19   20      7     23    21    91.30
 770   18    0   84.21  88.89    16     19   18      1     17    16    94.12
 771   30    0   65.00  72.22    13     20   18      3     22    21    95.45
 772    6    0  100.00 100.00     5      5    5      0      5     5   100.00
 773   37    0   48.48  51.61    16     33   31     11     33    32    96.97
 774   43    0   68.97  64.52    20     29   31      6     39    36    92.31
 775    8    0   37.50  33.33     3      8    9      3      7     4    57.14
 776   20    0   90.91  95.24    20     22   21      0     19    19   100.00
 777   23    0   52.38  64.71    11     21   17      6     22    20    90.91
 778   20    0   84.62  84.62    11     13   13      1     17    16    94.12
 779   15    0   71.43  62.50     5      7    8      1     14    12    85.71
 780   12    1    0.00   0.00     0      0    0      0      0     0     0.00
 781   33    0   77.42  77.42    24     31   31      3     31    27    87.10
 782   42    0   69.70  76.67    23     33   30      5     40    39    97.50
 783   40    1    0.00   0.00     0      0    0      0      0     0     0.00
============================================================================
                 68.64  71.46   7567 11024 10589    200  12490 11184    89.54
=== Summary ===

-- All --
Number of sentence        =    783
Number of Error sentence  =    167
Number of Skip  sentence  =      0
Number of Valid sentence  =    616
Bracketing Recall         =  68.64
Bracketing Precision      =  71.46
Bracketing FMeasure       =  70.02
Complete match            =  10.06
Average crossing          =   3.02
No crossing               =  32.47
2 or less crossing        =  58.93
Tagging accuracy          =  89.54

-- len<=40 --
Number of sentence        =    730
Number of Error sentence  =    145
Number of Skip  sentence  =      0
Number of Valid sentence  =    585
Bracketing Recall         =  69.65
Bracketing Precision      =  72.56
Bracketing FMeasure       =  71.08
Complete match            =  10.60
Average crossing          =   2.65
No crossing               =  34.02
2 or less crossing        =  61.88
Tagging accuracy          =  89.50
